Date,Fold,Feature,SHAP,Value
2006-06-14,1,∆ Salmon (NOK/KG) 1w,0.0012493151582209665,-0.0045200505171516
2006-06-21,1,∆ Salmon (NOK/KG) 1w,0.0009956195219671241,0.0191291699089952
2006-06-28,1,∆ Salmon (NOK/KG) 1w,0.0021785281237765887,0.0434851119397388
2006-07-05,1,∆ Salmon (NOK/KG) 1w,0.001151447208539278,0.0026839649303664
2006-07-12,1,∆ Salmon (NOK/KG) 1w,-0.0019911023623806236,-0.1431180256236466
2006-07-19,1,∆ Salmon (NOK/KG) 1w,0.0004592433376033568,-0.0056862391516445
2006-07-26,1,∆ Salmon (NOK/KG) 1w,0.0019138389593669689,0.0268523997247607
2006-08-02,1,∆ Salmon (NOK/KG) 1w,-0.001615757784888483,-0.0430534334606167
2006-08-09,1,∆ Salmon (NOK/KG) 1w,0.0007806123273683068,-0.0082000194958244
2006-08-16,1,∆ Salmon (NOK/KG) 1w,0.0008181100190701311,-0.0039920212695374
2006-08-23,1,∆ Salmon (NOK/KG) 1w,-0.0008154311295842057,-0.0123425231983866
2006-08-30,1,∆ Salmon (NOK/KG) 1w,-0.0020529006598989825,-0.0259825911232813
2006-09-06,1,∆ Salmon (NOK/KG) 1w,-0.0015966585200454517,-0.1066235894074849
2006-09-13,1,∆ Salmon (NOK/KG) 1w,-0.0018819525178353543,-0.063634696253727
2006-09-20,1,∆ Salmon (NOK/KG) 1w,0.001970572202537726,-0.0026315804660557
2006-09-27,1,∆ Salmon (NOK/KG) 1w,-0.0014080296458979919,-0.0182820448374494
2006-10-04,1,∆ Salmon (NOK/KG) 1w,-0.0016376851403556013,-0.067293066196123
2006-10-11,1,∆ Salmon (NOK/KG) 1w,-0.0011715136465208396,-0.0534295423996775
2006-10-18,1,∆ Salmon (NOK/KG) 1w,0.0007537777420180277,0.0294632537009755
2006-10-25,1,∆ Salmon (NOK/KG) 1w,0.0017763457389221805,0.0389238325183209
2006-11-01,1,∆ Salmon (NOK/KG) 1w,-0.002171857628580594,-0.0337918564454855
2006-11-08,1,∆ Salmon (NOK/KG) 1w,-0.0010809169085953282,-0.0587297089747367
2006-11-15,1,∆ Salmon (NOK/KG) 1w,-0.0005556294350325243,-0.0259244683377528
2006-11-22,1,∆ Salmon (NOK/KG) 1w,0.0005355861796188968,0.0043676861175114
2006-11-29,1,∆ Salmon (NOK/KG) 1w,0.0012672784205168951,0.0802864911949781
2006-12-06,1,∆ Salmon (NOK/KG) 1w,0.0015624205951960657,0.0177573065982286
2006-12-13,1,∆ Salmon (NOK/KG) 1w,-0.0016980311380026345,-0.0421848720497859
2006-12-20,1,∆ Salmon (NOK/KG) 1w,-0.0015587312763677727,-0.022736864267796
2006-12-27,1,∆ Salmon (NOK/KG) 1w,0.0010612867440776843,0.0011492052595936
2007-01-03,1,∆ Salmon (NOK/KG) 1w,0.0019551777272310404,0.0375701586639642
2007-01-10,1,∆ Salmon (NOK/KG) 1w,0.0008819467861154307,0.0251242051736788
2007-01-17,1,∆ Salmon (NOK/KG) 1w,0.0018644509477153083,0.0043057117112117
2007-01-24,1,∆ Salmon (NOK/KG) 1w,0.0018044503088058429,0.0327551733886393
2007-01-31,1,∆ Salmon (NOK/KG) 1w,-0.0018995090399038814,-0.0464540177468011
2007-02-07,1,∆ Salmon (NOK/KG) 1w,-0.0008675337763482336,-0.0575214561383634
2007-02-14,1,∆ Salmon (NOK/KG) 1w,0.0007954040967772659,-0.0042381107550681
2007-02-21,1,∆ Salmon (NOK/KG) 1w,0.0018804221889454598,0.091089280115268
2007-02-28,1,∆ Salmon (NOK/KG) 1w,0.0015979818302852425,0.0921970620887857
